mi_attempt_id	colony_name
17517	PGLAB
18327	TNZEB
18110	PPFBB
18454	CR10267
18493	CR10274
18529	CR10286
18546	jr32524
18781	TCPR1136_ADXP
18599	jr32552
18622	jr32566
18626	jr32570
18598	jr32571
18600	jr32590
19334	jr32786
18942	jr32938
18993	jr32939
18996	jr32947
18986	jr32951
19085	jr32952
19004	jr32954
18997	jr32955
18885	jr32957
19005	jr32960
18771	jr32983
19086	jr32993
18831	TCP1220_AEAF
18985	jr33010
19072	jr33043
19045	jr33044
18660	H-STX6-DEL1808INS8-EM1-B6N
19076	jr33045
19073	jr33047
19090	jr33053
19097	jr33079
19164	jr33080
18192	jr32142
18356	jr32648
18628	jr32645
18810	TCPR1201_ADZA
18944	jr32940
18940	jr32942
18994	jr32946
18989	jr32948
18825	TCPR1208_AEAE
19033	jr32959
19101	jr33009
19030	jr33016
18690	GIRAB
18955	HLZAB
18691	HHHAB
19091	jr33082
18835	H-PCSK2-DEL905-EM2-B6N
19177	jr33100
19173	jr33101
19188	jr33103
19174	Jr33104
19171	jr33106
19260	CR10438
18607	CR10311
18664	H-IRS1-DEL632-EM1-B6N
19181	jr33139
19026	jr33151
19500	jr33157
19184	jr33162
19185	jr33180
19502	jr33181
18722	CR10346
18853	CR10384
18933	CR10399
18934	CR10400
18970	CR10405
19240	CR10417
19247	CR10425
19250	CR10428
19254	CR10432
19257	CR10435
19263	CR10441
19275	CR10457
18836	H-BCAN-DEL465-EM2-B6N
19501	jr33206
19298	jr33207
19302	jr33212
19301	jr33213
18137	jr32139
18242	jr32144
18190	jr32146
18643	jr32653
18808	TCPR1180_ADZB
19158	jr33083
18830	TCPR1219_AEAT
19093	jr33107
19157	jr33118
19262	CR10440
19182	jr33140
19496	jr33142
19499	jr33175
19189	jr33179
19008	TCPR1236_AEAX
18451	CR10264
18608	CR10312
19069	CR10386
18898	CR10390
18899	CR10391
19014	CR10409
19235	CR10412
19251	CR10429
19253	CR10431
19268	CR10449
19273	CR10455
18498	H-GPRASP2-DEL1022-EM1-B6N
18747	H-CRTAC1-DEL699-EM1-B6N
19303	jr33204
19180	jr33205
19503	jr33209
19304	jr33214
17510	jr26128
18251	jr32138
18193	jr32140
18243	jr32141
18891	jr32652
18894	jr32654
18766	jr32810
18877	jr32808
18888	jr32812
19175	jr33102
19176	jr33105
19094	jr33117
19238	CR10415
18737	CR10359
19183	jr33138
19001	jr33158
19179	jr33160
19043	jr33161
19010	TCPR1239_AEAV
19498	jr33176
19305	jr33177
19007	TCPR1235_AEAW
18916	CR10393
18930	CR10396
18932	CR10398
18969	CR10404
19013	CR10408
19234	CR10411
19242	CR10419
19246	CR10424
19249	CR10427
19256	CR10434
19261	CR10439
19271	CR10452
19276	CR10458
19278	CR10462
18836	H-BCAN-DEL465-EM1-B6N
19046	jr33208
19299	jr33210
17874	H-IRS2-DEL3000INS1-EM1-B6N
19497	jr33217
17507	jr29553
19048	jr32809
18752	jr32815
18754	jr32819
18978	H-NPR2-DEL1117-EM1-B6N
19315	jr33272
19313	jr33273
19380	TCPR1261_AEBS
19379	TCPR1260_AECN
19012	TCPR1241_AECP
19370	jr33359
18271	H-AP3B2-DEL799-EM1-B6N
19596	jr33477
19404	jr33487
19569	H-PREPL-DEL619-EM1-B6N
19559	jr33491
19118	PGCAB
19219	OTOAB
19222	NUSAB
19407	HPSAB
19204	MRFAB
19216	MTRAB
19228	PUFAB
19103	HDBAB
19281	H-NYP2R-DEL1020-EM1-B6N
18966	jr32685
18964	jr32691
18714	jr32692
18962	jr32695
18683	jr32696
18886	jr32813
18965	jr32811
18883	jr32814
18963	jr32818
19400	jr33298
19316	jr33299
19402	jr33300
19403	jr33301
19369	jr33304
19375	jr33305
19011	TCPR1240_AEBT
19382	TCPR1267_AECQ
19062	H-BEAN1-DEL690DEL15-EM1-B6N
19063	H-BEAN1-DEL755DEL7-EM2-B6N
19550	CR10504
19335	CR10469
19322	CR10468
19258	CR10436
19599	jr33586
19555	jr33587
19592	jr33589
19601	jr33591
19462	jr33592
19600	jr33595
19773	jr33602
19775	jr33604
